,Oil,Oil,NZD/USD,NZD/USD,10-Yr Rate,10-Yr Rate,AIR.NZ,AIR.NZ
,PCT Change %,Factor,PCT Change %,Factor,PCT Change %,Factor,PCT Change %,Factor
2017-03-27,-0.098,BZ=F,0.232,NZDUSD=X,-1.125,^TNX,-0.217,AIR.NZ
2017-03-28,1.143,BZ=F,0.033,NZDUSD=X,1.517,^TNX,3.05,AIR.NZ
2017-03-29,2.124,BZ=F,-0.563,NZDUSD=X,-0.955,^TNX,3.805,AIR.NZ
2017-03-30,1.03,BZ=F,0.365,NZDUSD=X,1.257,^TNX,1.629,AIR.NZ
2017-03-31,-0.245,BZ=F,-0.429,NZDUSD=X,-0.828,^TNX,-1.403,AIR.NZ
2017-04-03,0.549,BZ=F,0.019,NZDUSD=X,-1.92,^TNX,-1.626,AIR.NZ
2017-04-04,1.977,BZ=F,0.18,NZDUSD=X,0.0,^TNX,0.413,AIR.NZ
2017-04-05,0.351,BZ=F,-0.585,NZDUSD=X,0.298,^TNX,2.058,AIR.NZ
2017-04-06,0.975,BZ=F,0.011,NZDUSD=X,-0.594,^TNX,-1.613,AIR.NZ
2017-04-07,0.638,BZ=F,-0.049,NZDUSD=X,1.28,^TNX,-0.41,AIR.NZ
2017-04-10,1.34,BZ=F,-0.46,NZDUSD=X,-0.506,^TNX,1.235,AIR.NZ
2017-04-11,0.447,BZ=F,0.329,NZDUSD=X,-2.668,^TNX,0.61,AIR.NZ
2017-04-12,-0.658,BZ=F,-0.081,NZDUSD=X,-0.087,^TNX,-0.606,AIR.NZ
2017-04-13,0.054,BZ=F,0.499,NZDUSD=X,-2.787,^TNX,0.407,AIR.NZ
2017-04-17,-0.948,BZ=F,0.271,NZDUSD=X,0.896,^TNX,,
2017-04-18,-0.849,BZ=F,-0.036,NZDUSD=X,-3.242,^TNX,0.0,AIR.NZ
2017-04-19,-3.571,BZ=F,0.481,NZDUSD=X,1.056,^TNX,1.012,AIR.NZ
2017-04-20,0.113,BZ=F,-0.1,NZDUSD=X,1.771,^TNX,-2.204,AIR.NZ
2017-04-21,-1.944,BZ=F,-0.693,NZDUSD=X,-0.178,^TNX,2.049,AIR.NZ
2017-04-24,-0.693,BZ=F,0.744,NZDUSD=X,1.609,^TNX,0.0,AIR.NZ
2017-04-25,0.969,BZ=F,-0.407,NZDUSD=X,2.376,^TNX,,
2017-04-26,-0.537,BZ=F,-0.897,NZDUSD=X,-0.688,^TNX,-0.201,AIR.NZ
2017-04-27,-0.733,BZ=F,-0.691,NZDUSD=X,-0.649,^TNX,1.006,AIR.NZ
2017-04-28,0.564,BZ=F,-0.277,NZDUSD=X,-0.61,^TNX,1.594,AIR.NZ
